46,membresías
40,tarjeta
40,dinero
36,ahora
36,clientes
34,cuenta
34,beneficios
30,más
29,servicio
28,nada
22,cliente
22,comentarios
21,app
20,atención
20,qué
19,dan
19,recomiendo
19,membresía
18,to
17,aplicación
16,solo
16,peor
16,días
16,crédito
15,tiene
15,nunca
15,bancos
14,mis
14,tienen
14,pago
14,antes
13,i
13,hacen
13,mejores
13,mejor
12,gente
12,siempre
12,problema
12,buen
12,cuentas
12,opciones
12,además
12,anualidad
11,problemas
11,han
11,my
11,opción
11,hicieron
10,basura
10,bien
10,buena
10,pésima
10,mal
10,pésimo
9,así
9,tarjetas
9,pagar
9,mientras
9,día
9,está
9,mala
9,membresias
9,mismo
9,your
9,quitaron
9,ver
9,meses
9,pena
9,cashback
9,redes
9,disfrazada
8,mes
8,dos
8,van
8,cargos
8,verdad
8,eso
8,hoy
8,quieren
8,the
8,you
8,fallas
8,bueno
8,cosas
8,adiós
8,forma
8,eran
8,cobran
8,nuevas
8,cambios
8,sociales
8,cobrar
8,cerrar
7,robaron
7,teléfono
7,esto
7,después
7,sistema
7,puede
7,transferencias
7,cajero
7,tienes
7,for
7,of
7,and
7,have
7,facebook
7,com
7,saldo
7,hace
7,atractivo
7,información
7,dar
6,datos
6,están
6,sea
6,da
6,tanto
6,error
6,aún
6,reporte
6,tiempo
6,tenido
6,mil
6,semana
6,account
6,retenido
6,respuesta
6,fueron
6,parece
6,horrible
6,dicen
6,ellos
6,vez
6,gratis
6,transferencia
6,pesos
6,ningún
6,vale
6,decisiones
6,puedo
5,serio
5,bbva
5,cargo
5,resolver
5,perdió
5,ahí
5,pro
5,invertir
5,horas
5,negocios
5,esperar
5,in
5,años
5,idea
5,mercado
5,aclaración
5,situación
5,nula
5,spell
5,decepción
5,retirar
5,políticas
5,recomendable
5,tradicionales
5,movimientos
5,bloquean
5,marca
5,mejorar
5,cancelar
5,va
5,débito
5,jamás
5,usuario
5,marzo
5,caso
5,resuelven
5,llegó
4,fin
4,pinche
4,mierda
4,usuarios
4,hacían
4,línea
4,banca
4,luego
4,debido
4,ojalá
4,publicaciones
4,sacar
4,trading
4,contact
4,https
4,puedes
4,aparece
4,según
4,is
4,service
4,will
4,comercio
4,call
4,center
4,pesimo
4,quitar
4,recompensas
4,querer
4,salen
4,has
4,burla
4,lastima
4,haber
4,mañana
4,ustedes
4,tasa
4,dejan
4,tipo
4,pagos
4,convirtió
4,malas
4,gusto
4,algo
4,correo
4,veo
4,atencion
4,back
4,rendimientos
4,falla
4,octubre
4,institución
4,tenía
4,banregio
4,identidad
4,imposible
4,llevo
4,real
